threshold,accuracy,precision,recall,specificity,f1,youden_index,n_predicted_positive,positive_rate
0.1,0.8366,0.4017,0.9243,0.8254,0.56,0.7498,1429,0.2589
0.11,0.8451,0.4146,0.9147,0.8363,0.5706,0.7509,1370,0.2482
0.12,0.8505,0.4224,0.8937,0.845,0.5736,0.7388,1314,0.2381
0.13,0.8578,0.4352,0.8873,0.854,0.584,0.7413,1266,0.2294
0.14,0.8645,0.4477,0.8744,0.8632,0.5921,0.7376,1213,0.2198
0.15,0.8706,0.46,0.8615,0.8718,0.5998,0.7333,1163,0.2107
0.16,0.8746,0.4686,0.8535,0.8773,0.605,0.7308,1131,0.2049
0.17,0.8782,0.4767,0.839,0.8832,0.6079,0.7222,1093,0.198
0.18,0.8806,0.4821,0.8245,0.8877,0.6084,0.7122,1062,0.1924
0.19,0.8813,0.4836,0.8052,0.891,0.6042,0.6961,1034,0.1874
0.2,0.8826,0.4866,0.7907,0.8942,0.6025,0.6849,1009,0.1828
0.21,0.8842,0.4909,0.7794,0.8975,0.6024,0.6769,986,0.1787
0.22,0.8855,0.4943,0.7649,0.9008,0.6005,0.6657,961,0.1741
0.23,0.8882,0.5021,0.7568,0.9049,0.6037,0.6617,936,0.1696
0.24,0.8906,0.5094,0.7407,0.9096,0.6037,0.6503,903,0.1636
0.25,0.8922,0.5148,0.7279,0.913,0.6031,0.6409,878,0.1591
0.26,0.8935,0.5191,0.7214,0.9153,0.6038,0.6367,863,0.1564
0.27,0.8947,0.5238,0.7085,0.9183,0.6023,0.6269,840,0.1522
0.28,0.8953,0.5264,0.6892,0.9214,0.5969,0.6106,813,0.1473
0.29,0.8956,0.5284,0.6731,0.9238,0.5921,0.597,791,0.1433
0.3,0.8964,0.5319,0.6586,0.9265,0.5885,0.5851,769,0.1393
0.31,0.8964,0.5326,0.6441,0.9283,0.5831,0.5725,751,0.1361
0.32,0.8969,0.5358,0.6264,0.9312,0.5776,0.5576,726,0.1315
0.33,0.8969,0.5369,0.6087,0.9334,0.5706,0.5421,704,0.1276
0.34,0.8971,0.5393,0.5862,0.9365,0.5617,0.5227,675,0.1223
0.35,0.8989,0.5482,0.5765,0.9398,0.562,0.5163,653,0.1183
0.36,0.8996,0.5529,0.5636,0.9422,0.5582,0.5058,633,0.1147
0.37,0.9005,0.5584,0.5539,0.9445,0.5562,0.4984,616,0.1116
0.38,0.9016,0.5654,0.5427,0.9471,0.5538,0.4898,596,0.108
0.39,0.9022,0.5695,0.5346,0.9488,0.5515,0.4834,583,0.1056
0.4,0.9027,0.575,0.5185,0.9514,0.5453,0.4699,560,0.1015
0.41,0.9034,0.5812,0.5072,0.9537,0.5417,0.4609,542,0.0982
0.42,0.9036,0.5851,0.4928,0.9557,0.535,0.4484,523,0.0948
0.43,0.9036,0.5895,0.4718,0.9584,0.5242,0.4302,497,0.0901
0.44,0.9032,0.5901,0.4589,0.9596,0.5163,0.4185,483,0.0875
0.45,0.9043,0.6009,0.4461,0.9624,0.512,0.4085,461,0.0835
0.46,0.9041,0.6027,0.4348,0.9637,0.5051,0.3984,448,0.0812
0.47,0.9041,0.607,0.4203,0.9655,0.4967,0.3858,430,0.0779
0.48,0.9051,0.6169,0.4122,0.9675,0.4942,0.3798,415,0.0752
0.49,0.9051,0.6216,0.3994,0.9692,0.4863,0.3685,399,0.0723
0.5,0.9049,0.6257,0.3849,0.9708,0.4766,0.3557,382,0.0692
0.51,0.9045,0.6291,0.3688,0.9724,0.465,0.3412,364,0.066
0.52,0.9038,0.6293,0.3527,0.9737,0.452,0.3263,348,0.0631
0.53,0.9034,0.6317,0.3398,0.9749,0.4419,0.3147,334,0.0605
0.54,0.9025,0.6309,0.3221,0.9761,0.4264,0.2982,317,0.0574
0.55,0.9029,0.6367,0.3188,0.9769,0.4249,0.2958,311,0.0564
