number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,state
0,0.9417004573223142,2026-04-10 09:02:09.895479,2026-04-10 09:02:10.996796,0 days 00:00:01.101317,0.49359671220172163,1,0.4936111842654619,0.22648248189516842,120,800,230,0.6245760287469887,0.002570603566117596,COMPLETE
1,0.9428220956063731,2026-04-10 09:02:10.997164,2026-04-10 09:02:24.807045,0 days 00:00:13.809881,0.5090949803242604,2,0.5274034664069657,0.001124579825911934,170,1450,300,5.472429642032189e-06,0.00052821153945323,COMPLETE
2,0.9339687104729374,2026-04-10 09:02:24.807852,2026-04-10 09:02:56.100062,0 days 00:00:31.292210,0.6198171059762151,5,0.575286789121131,0.005265139631677754,30,900,190,0.11656915613247415,6.267062696005991e-07,COMPLETE
3,0.9447276800383875,2026-04-10 09:02:56.101368,2026-04-10 09:02:58.568390,0 days 00:00:02.467022,0.43903095579116774,10,0.502314474212375,0.029341527565000736,130,1100,30,4.905556676028766,0.1886149587855396,COMPLETE
4,0.9419789516366157,2026-04-10 09:02:58.568677,2026-04-10 09:03:03.928230,0 days 00:00:05.359553,0.6971061460667621,1,0.47322294090686734,0.0017456037635797405,90,650,210,1.5271567592511939,2.133142332373e-06,COMPLETE
5,0.9435958128150272,2026-04-10 09:03:03.928524,2026-04-10 09:03:19.364754,0 days 00:00:15.436230,0.9817507766587351,8,0.5109126733153162,0.005917607170144194,110,1350,170,2.8542399074977594,1.1309571585271492,COMPLETE
6,0.9412716831679251,2026-04-10 09:03:19.365577,2026-04-10 09:03:20.227291,0 days 00:00:00.861714,0.5951981984579586,4,0.4271363733463229,0.19212959255386386,40,1250,40,2.7678419414850017e-06,0.287499823474079,COMPLETE
7,0.9367741996500424,2026-04-10 09:03:20.227579,2026-04-10 09:03:35.952667,0 days 00:00:15.725088,0.44473038620786254,10,0.8813181884524238,0.0049648810171066555,30,750,170,0.08916674715636552,6.143857495033091e-07,COMPLETE
8,0.9402280101897259,2026-04-10 09:03:35.952980,2026-04-10 09:03:36.785768,0 days 00:00:00.832788,0.44442679104045424,4,0.8627622080115674,0.10471209213501693,150,100,220,1.1036250149900698e-07,0.5860448217200526,COMPLETE
9,0.9428872741402246,2026-04-10 09:03:36.786054,2026-04-10 09:03:45.863161,0 days 00:00:09.077107,0.8377637070028384,7,0.5951099932160483,0.006601984958164864,70,1300,30,0.9658611176861261,0.0001778010520878397,COMPLETE
10,0.9406315748343261,2026-04-10 09:03:45.863455,2026-04-10 09:03:48.529231,0 days 00:00:02.665776,0.8141482441414871,10,0.7114864019556889,0.04073819616959591,190,1900,90,0.0025074987853267315,0.008349484536843158,COMPLETE
11,0.9455992328851223,2026-04-10 09:03:48.529519,2026-04-10 09:03:54.119951,0 days 00:00:05.590432,0.9747857049445863,8,0.7021766181208007,0.02058712339938166,120,1750,110,8.287201934873071,9.710662705281724,COMPLETE
