threshold,accuracy,precision,recall,specificity,f1,youden_index,n_predicted_positive,positive_rate
0.1,0.8505,0.4242,0.9195,0.8418,0.5806,0.7613,1346,0.2439
0.11,0.8654,0.4498,0.8808,0.8634,0.5955,0.7443,1216,0.2203
0.12,0.8775,0.4751,0.8454,0.8816,0.6083,0.727,1105,0.2002
0.13,0.8869,0.4985,0.8148,0.8961,0.6186,0.7109,1015,0.1839
0.14,0.8926,0.5152,0.7649,0.9087,0.6157,0.6736,922,0.1671
0.15,0.8978,0.5334,0.7327,0.9187,0.6174,0.6514,853,0.1546
0.16,0.8978,0.5354,0.694,0.9236,0.6045,0.6177,805,0.1459
0.17,0.9,0.5464,0.6538,0.9312,0.5953,0.585,743,0.1346
0.18,0.9014,0.5551,0.6248,0.9365,0.5879,0.5613,699,0.1267
0.19,0.9032,0.5668,0.5942,0.9424,0.5802,0.5366,651,0.118
0.2,0.904,0.5735,0.5717,0.9461,0.5726,0.5178,619,0.1122
0.21,0.9047,0.5809,0.5491,0.9498,0.5646,0.4989,587,0.1064
0.22,0.9056,0.589,0.533,0.9528,0.5596,0.4858,562,0.1018
0.23,0.9063,0.597,0.5153,0.9559,0.5532,0.4712,536,0.0971
0.24,0.9074,0.6058,0.5072,0.9581,0.5521,0.4654,520,0.0942
0.25,0.9078,0.612,0.4928,0.9604,0.5459,0.4531,500,0.0906
0.26,0.9087,0.6201,0.4863,0.9622,0.5451,0.4485,487,0.0882
0.27,0.909,0.6274,0.4718,0.9645,0.5386,0.4363,467,0.0846
0.28,0.9072,0.6225,0.4461,0.9657,0.5197,0.4118,445,0.0806
0.29,0.9067,0.6238,0.43,0.9671,0.5091,0.3971,428,0.0776
0.3,0.9056,0.6214,0.4122,0.9682,0.4956,0.3804,412,0.0747
0.31,0.9051,0.6198,0.4042,0.9686,0.4893,0.3727,405,0.0734
0.32,0.9043,0.6189,0.3897,0.9696,0.4783,0.3593,391,0.0708
0.33,0.9036,0.6162,0.38,0.97,0.4701,0.35,383,0.0694
0.34,0.9032,0.6173,0.3688,0.971,0.4617,0.3398,371,0.0672
0.35,0.9031,0.6188,0.3607,0.9718,0.4557,0.3325,362,0.0656
0.36,0.9031,0.6222,0.3527,0.9728,0.4502,0.3255,352,0.0638
0.37,0.9034,0.6272,0.3494,0.9737,0.4488,0.3231,346,0.0627
0.38,0.9029,0.6254,0.3414,0.9741,0.4417,0.3155,339,0.0614
0.39,0.9038,0.6355,0.3398,0.9753,0.4428,0.3151,332,0.0602
0.4,0.9029,0.63,0.3317,0.9753,0.4346,0.307,327,0.0592
0.41,0.9031,0.6335,0.3285,0.9759,0.4327,0.3044,322,0.0583
0.42,0.9023,0.6297,0.3205,0.9761,0.4248,0.2966,316,0.0573
0.43,0.902,0.6274,0.3172,0.9761,0.4214,0.2933,314,0.0569
0.44,0.902,0.629,0.314,0.9765,0.4189,0.2905,310,0.0562
0.45,0.902,0.6307,0.3108,0.9769,0.4164,0.2877,306,0.0554
0.46,0.9009,0.6233,0.3011,0.9769,0.4061,0.2781,300,0.0544
0.47,0.9013,0.6284,0.2995,0.9775,0.4057,0.2771,296,0.0536
0.48,0.9014,0.6332,0.2947,0.9784,0.4022,0.273,289,0.0524
0.49,0.9009,0.6303,0.2882,0.9786,0.3956,0.2668,284,0.0515
0.5,0.9009,0.6303,0.2882,0.9786,0.3956,0.2668,284,0.0515
0.51,0.9014,0.637,0.2882,0.9792,0.3969,0.2674,281,0.0509
0.52,0.9011,0.6354,0.2834,0.9794,0.392,0.2628,277,0.0502
0.53,0.9009,0.635,0.2802,0.9796,0.3888,0.2598,274,0.0496
0.54,0.9007,0.6337,0.2786,0.9796,0.387,0.2582,273,0.0495
0.55,0.9003,0.632,0.2738,0.9798,0.382,0.2535,269,0.0487
0.56,0.9002,0.6306,0.2721,0.9798,0.3802,0.2519,268,0.0486
0.57,0.9005,0.6364,0.2705,0.9804,0.3797,0.2509,264,0.0478
0.58,0.9002,0.6346,0.2657,0.9806,0.3746,0.2463,260,0.0471
0.59,0.9009,0.6445,0.2657,0.9814,0.3763,0.2471,256,0.0464
0.6,0.9009,0.6457,0.2641,0.9816,0.3749,0.2457,254,0.046
0.61,0.9003,0.6414,0.2593,0.9816,0.3693,0.2409,251,0.0455
0.62,0.9007,0.6478,0.2576,0.9822,0.3687,0.2399,247,0.0448
0.63,0.9007,0.6478,0.2576,0.9822,0.3687,0.2399,247,0.0448
