threshold,accuracy,precision,recall,specificity,f1,youden_index,n_predicted_positive,positive_rate
0.1,0.8391,0.4079,0.9517,0.8248,0.571,0.7765,1449,0.2625
0.11,0.8482,0.4222,0.9485,0.8354,0.5843,0.7839,1395,0.2528
0.12,0.8558,0.435,0.9436,0.8446,0.5955,0.7883,1347,0.2441
0.13,0.8621,0.4464,0.9388,0.8524,0.6051,0.7912,1306,0.2366
0.14,0.8656,0.4525,0.9275,0.8577,0.6082,0.7852,1273,0.2307
0.15,0.8714,0.4639,0.9211,0.865,0.617,0.7861,1233,0.2234
0.16,0.8766,0.475,0.9195,0.8712,0.6264,0.7907,1202,0.2178
0.17,0.8817,0.4863,0.9114,0.8779,0.6342,0.7893,1164,0.2109
0.18,0.8857,0.4956,0.9018,0.8836,0.6396,0.7854,1130,0.2047
0.19,0.8871,0.4991,0.8873,0.8871,0.6388,0.7744,1104,0.2
0.2,0.89,0.5065,0.8808,0.8912,0.6432,0.772,1080,0.1957
0.21,0.8926,0.5133,0.8696,0.8955,0.6455,0.765,1052,0.1906
0.22,0.8936,0.5165,0.8551,0.8985,0.644,0.7536,1028,0.1863
0.23,0.8953,0.5213,0.847,0.9014,0.6454,0.7484,1009,0.1828
0.24,0.8984,0.5306,0.8374,0.9061,0.6496,0.7434,980,0.1776
0.25,0.9002,0.5365,0.8277,0.9094,0.651,0.737,958,0.1736
0.26,0.9,0.5368,0.81,0.9114,0.6457,0.7214,937,0.1698
0.27,0.9013,0.5418,0.7939,0.9149,0.644,0.7087,910,0.1649
0.28,0.9018,0.5444,0.7794,0.9173,0.6411,0.6967,889,0.1611
0.29,0.9049,0.5554,0.7746,0.9214,0.6469,0.696,866,0.1569
0.3,0.908,0.5672,0.7681,0.9257,0.6525,0.6938,841,0.1524
0.31,0.9094,0.5733,0.7617,0.9281,0.6542,0.6898,825,0.1495
0.32,0.9099,0.5765,0.752,0.93,0.6527,0.682,810,0.1468
0.33,0.9105,0.5793,0.7472,0.9312,0.6526,0.6784,801,0.1451
0.34,0.9096,0.5774,0.7327,0.932,0.6458,0.6647,788,0.1428
0.35,0.9107,0.5833,0.7214,0.9347,0.6451,0.6561,768,0.1392
0.36,0.9112,0.5872,0.7101,0.9367,0.6429,0.6469,751,0.1361
0.37,0.9116,0.591,0.6957,0.939,0.6391,0.6346,731,0.1325
0.38,0.9123,0.5955,0.6876,0.9408,0.6383,0.6284,717,0.1299
0.39,0.913,0.6011,0.6747,0.9432,0.6358,0.618,697,0.1263
0.4,0.9134,0.6041,0.6683,0.9445,0.6346,0.6127,687,0.1245
0.41,0.9136,0.6075,0.6554,0.9463,0.6305,0.6017,670,0.1214
0.42,0.9148,0.6167,0.6425,0.9494,0.6293,0.5919,647,0.1172
0.43,0.9161,0.6246,0.6377,0.9514,0.6311,0.5891,634,0.1149
0.44,0.9174,0.6359,0.6216,0.9549,0.6287,0.5765,607,0.11
0.45,0.9176,0.6436,0.599,0.9579,0.6205,0.557,578,0.1047
0.46,0.9177,0.651,0.5797,0.9606,0.6133,0.5403,553,0.1002
0.47,0.9181,0.6591,0.5636,0.963,0.6076,0.5267,531,0.0962
0.48,0.9188,0.6706,0.5475,0.9659,0.6028,0.5134,507,0.0919
0.49,0.9186,0.6734,0.5378,0.9669,0.598,0.5048,496,0.0899
0.5,0.919,0.6843,0.5201,0.9696,0.591,0.4897,472,0.0855
0.51,0.9183,0.6914,0.4944,0.972,0.5765,0.4664,444,0.0804
0.52,0.917,0.6918,0.4734,0.9733,0.5621,0.4467,425,0.077
0.53,0.9159,0.6967,0.4477,0.9753,0.5451,0.423,399,0.0723
0.54,0.9159,0.706,0.4332,0.9771,0.5369,0.4103,381,0.069
0.55,0.9154,0.7175,0.409,0.9796,0.521,0.3886,354,0.0641
0.56,0.9141,0.7234,0.3833,0.9814,0.5011,0.3647,329,0.0596
0.57,0.913,0.7267,0.3639,0.9826,0.485,0.3466,311,0.0564
0.58,0.9123,0.7404,0.3398,0.9849,0.4658,0.3247,285,0.0516
0.59,0.913,0.764,0.3285,0.9871,0.4595,0.3156,267,0.0484
0.6,0.9132,0.7795,0.3188,0.9886,0.4526,0.3074,254,0.046
0.61,0.9128,0.7869,0.3092,0.9894,0.4439,0.2986,244,0.0442
0.62,0.9127,0.8035,0.2963,0.9908,0.4329,0.2871,229,0.0415
0.63,0.9116,0.8065,0.2818,0.9914,0.4177,0.2732,217,0.0393
0.64,0.9116,0.8182,0.2754,0.9922,0.412,0.2676,209,0.0379
0.65,0.9103,0.8182,0.2609,0.9927,0.3956,0.2535,198,0.0359
0.66,0.9099,0.8229,0.2544,0.9931,0.3887,0.2475,192,0.0348
0.67,0.909,0.8182,0.2464,0.9931,0.3787,0.2394,187,0.0339
0.68,0.9072,0.8187,0.2254,0.9937,0.3535,0.2191,171,0.031
0.69,0.9063,0.825,0.2126,0.9943,0.338,0.2068,160,0.029
0.7,0.9054,0.8367,0.1981,0.9951,0.3203,0.1932,147,0.0266
0.71,0.9036,0.8296,0.1804,0.9953,0.2963,0.1757,135,0.0245
0.72,0.9016,0.8145,0.1626,0.9953,0.2711,0.1579,124,0.0225
0.73,0.9009,0.8246,0.1514,0.9959,0.2558,0.1473,114,0.0207
0.74,0.8993,0.8095,0.1369,0.9959,0.2342,0.1328,105,0.019
0.75,0.8973,0.7872,0.1192,0.9959,0.207,0.1151,94,0.017
0.76,0.8962,0.7791,0.1079,0.9961,0.1895,0.104,86,0.0156
0.77,0.8945,0.76,0.0918,0.9963,0.1638,0.0881,75,0.0136
0.78,0.894,0.7647,0.0837,0.9967,0.1509,0.0805,68,0.0123
0.79,0.8926,0.7414,0.0692,0.9969,0.1267,0.0662,58,0.0105
0.8,0.8916,0.7447,0.0564,0.9976,0.1048,0.0539,47,0.0085
0.81,0.8916,0.7805,0.0515,0.9982,0.0967,0.0497,41,0.0074
0.82,0.8911,0.8333,0.0403,0.999,0.0768,0.0392,30,0.0054
0.83,0.8889,0.75,0.0193,0.9992,0.0377,0.0185,16,0.0029
0.84,0.8886,1.0,0.0097,1.0,0.0191,0.0097,6,0.0011
0.85,0.8882,1.0,0.0064,1.0,0.0128,0.0064,4,0.0007
0.86,0.8878,1.0,0.0032,1.0,0.0064,0.0032,2,0.0004
0.87,0.8875,0.0,0.0,1.0,0.0,0.0,0,0.0
0.88,0.8875,0.0,0.0,1.0,0.0,0.0,0,0.0
0.89,0.8875,0.0,0.0,1.0,0.0,0.0,0,0.0
0.9,0.8875,0.0,0.0,1.0,0.0,0.0,0,0.0
