threshold,accuracy,precision,recall,specificity,f1,youden_index,n_predicted_positive,positive_rate
0.1,0.848,0.422,0.9501,0.835,0.5844,0.7851,1398,0.2533
0.11,0.8521,0.4288,0.9452,0.8403,0.5899,0.7856,1369,0.2481
0.12,0.8578,0.438,0.9324,0.8483,0.596,0.7807,1322,0.2395
0.13,0.8645,0.4502,0.9243,0.8569,0.6055,0.7812,1275,0.231
0.14,0.8674,0.4556,0.9163,0.8612,0.6086,0.7774,1249,0.2263
0.15,0.8712,0.4632,0.9114,0.8661,0.6142,0.7775,1222,0.2214
0.16,0.8753,0.4719,0.9066,0.8714,0.6207,0.778,1193,0.2162
0.17,0.8791,0.4802,0.9002,0.8765,0.6263,0.7766,1164,0.2109
0.18,0.8826,0.4881,0.8937,0.8812,0.6314,0.7749,1137,0.206
0.19,0.8846,0.4928,0.8857,0.8844,0.6333,0.7701,1116,0.2022
0.2,0.8873,0.4995,0.8776,0.8885,0.6367,0.7661,1091,0.1977
0.21,0.8895,0.5052,0.868,0.8922,0.6386,0.7602,1067,0.1933
0.22,0.8918,0.5116,0.8519,0.8969,0.6393,0.7487,1034,0.1874
0.23,0.8956,0.5223,0.847,0.9018,0.6462,0.7488,1007,0.1825
0.24,0.8965,0.5256,0.8277,0.9053,0.6429,0.733,978,0.1772
0.25,0.8976,0.5292,0.818,0.9077,0.6426,0.7258,960,0.1739
0.26,0.8996,0.5357,0.81,0.911,0.6449,0.721,939,0.1701
0.27,0.9013,0.5412,0.8035,0.9136,0.6468,0.7172,922,0.1671
0.28,0.9027,0.5467,0.7923,0.9167,0.6469,0.709,900,0.1631
0.29,0.9049,0.5547,0.7842,0.9202,0.6498,0.7044,878,0.1591
0.3,0.9061,0.5602,0.7713,0.9232,0.6491,0.6946,855,0.1549
0.31,0.9069,0.5639,0.7601,0.9255,0.6475,0.6855,837,0.1517
0.32,0.9074,0.5671,0.7488,0.9275,0.6454,0.6763,820,0.1486
0.33,0.909,0.5745,0.7391,0.9306,0.6465,0.6697,799,0.1448
0.34,0.9085,0.5744,0.7214,0.9322,0.6395,0.6536,780,0.1413
0.35,0.909,0.578,0.7101,0.9343,0.6373,0.6444,763,0.1382
0.36,0.9119,0.5921,0.6989,0.939,0.6411,0.6378,733,0.1328
0.37,0.9123,0.5958,0.686,0.941,0.6377,0.627,715,0.1296
0.38,0.9123,0.5997,0.6634,0.9439,0.63,0.6073,687,0.1245
0.39,0.9134,0.6082,0.6473,0.9471,0.6271,0.5945,661,0.1198
0.4,0.913,0.6093,0.6329,0.9486,0.6209,0.5814,645,0.1169
0.41,0.9136,0.6139,0.6248,0.9502,0.6193,0.575,632,0.1145
0.42,0.9136,0.6176,0.6087,0.9522,0.6131,0.5609,612,0.1109
0.43,0.9141,0.6261,0.5878,0.9555,0.6063,0.5433,583,0.1056
0.44,0.915,0.6343,0.5781,0.9577,0.6049,0.5358,566,0.1026
0.45,0.9157,0.6429,0.5652,0.9602,0.6015,0.5254,546,0.0989
0.46,0.9179,0.6609,0.5556,0.9639,0.6037,0.5194,522,0.0946
0.47,0.9183,0.6687,0.5427,0.9659,0.5991,0.5086,504,0.0913
0.48,0.9183,0.6721,0.5346,0.9669,0.5955,0.5015,494,0.0895
0.49,0.9174,0.6715,0.5201,0.9677,0.5862,0.4879,481,0.0872
0.5,0.9183,0.6832,0.5105,0.97,0.5843,0.4805,464,0.0841
0.51,0.9183,0.6932,0.4911,0.9724,0.5749,0.4636,440,0.0797
0.52,0.9185,0.707,0.4702,0.9753,0.5648,0.4455,413,0.0748
0.53,0.9188,0.7212,0.4541,0.9777,0.5573,0.4319,391,0.0708
0.54,0.9186,0.7324,0.4364,0.9798,0.5469,0.4162,370,0.067
0.55,0.9185,0.7355,0.43,0.9804,0.5427,0.4104,363,0.0658
0.56,0.9163,0.7373,0.3977,0.982,0.5167,0.3798,335,0.0607
0.57,0.9145,0.735,0.3752,0.9829,0.4968,0.3581,317,0.0574
0.58,0.9143,0.7434,0.3639,0.9841,0.4886,0.348,304,0.0551
0.59,0.9143,0.7534,0.3543,0.9853,0.4819,0.3396,292,0.0529
0.6,0.9127,0.7546,0.3317,0.9863,0.4609,0.318,273,0.0495
0.61,0.9125,0.7634,0.3221,0.9873,0.453,0.3094,262,0.0475
0.62,0.9118,0.768,0.3092,0.9882,0.4409,0.2973,250,0.0453
0.63,0.9116,0.7879,0.2931,0.99,0.4272,0.2831,231,0.0419
0.64,0.9109,0.7892,0.2834,0.9904,0.4171,0.2738,223,0.0404
0.65,0.9103,0.7972,0.2721,0.9912,0.4058,0.2634,212,0.0384
0.66,0.9092,0.803,0.256,0.992,0.3883,0.2481,198,0.0359
0.67,0.9078,0.7979,0.2415,0.9922,0.3708,0.2338,188,0.0341
0.68,0.9076,0.8136,0.2319,0.9933,0.3609,0.2251,177,0.0321
0.69,0.907,0.814,0.2254,0.9935,0.3531,0.2189,172,0.0312
0.7,0.9061,0.8121,0.2158,0.9937,0.341,0.2095,165,0.0299
0.71,0.9056,0.8205,0.2061,0.9943,0.3295,0.2004,156,0.0283
0.72,0.9045,0.8219,0.1932,0.9947,0.3129,0.1879,146,0.0265
