number,value,datetime_start,datetime_complete,duration,params_kernel_name,params_max_iter_predict,params_n_restarts,params_n_train_samples,state
0,0.9217296652009933,2026-05-07 13:47:30.053251,2026-05-07 13:47:38.299857,0 days 00:00:08.246606,matern_1.5,150,3,1000,COMPLETE
1,0.9213723072457394,2026-05-07 13:47:38.300721,2026-05-07 13:47:41.508280,0 days 00:00:03.207559,matern_2.5,150,1,1000,COMPLETE
2,0.9327775802291558,2026-05-07 13:47:41.508582,2026-05-07 13:48:31.040530,0 days 00:00:49.531948,matern_2.5,50,3,2000,COMPLETE
3,0.9320505842880704,2026-05-07 13:48:31.045504,2026-05-07 13:53:21.787128,0 days 00:04:50.741624,rbf+white,200,3,3000,COMPLETE
4,0.9213723072457396,2026-05-07 13:53:21.788067,2026-05-07 13:53:29.441460,0 days 00:00:07.653393,matern_2.5,100,3,1000,COMPLETE
5,0.9337924971979399,2026-05-07 13:53:29.441717,2026-05-07 13:54:49.987612,0 days 00:01:20.545895,rational_quadratic,200,3,2500,COMPLETE
6,0.9329592396672926,2026-05-07 13:54:49.988443,2026-05-07 13:55:00.239055,0 days 00:00:10.250612,matern_1.5,200,1,1500,COMPLETE
7,0.9324835503472872,2026-05-07 13:55:00.239321,2026-05-07 14:00:37.355139,0 days 00:05:37.115818,matern_2.5+white,50,3,3000,COMPLETE
8,0.9329592396672926,2026-05-07 14:00:37.357955,2026-05-07 14:00:46.063747,0 days 00:00:08.705792,matern_1.5,200,0,1500,COMPLETE
9,0.9337924971979399,2026-05-07 14:00:46.064012,2026-05-07 14:02:05.005705,0 days 00:01:18.941693,rational_quadratic,100,3,2500,COMPLETE
10,0.9329546151419669,2026-05-07 14:02:05.006560,2026-05-07 14:25:41.850894,0 days 00:23:36.844334,rbf,150,2,2500,COMPLETE
11,0.9337924971979399,2026-05-07 14:25:41.852404,2026-05-07 14:26:37.037710,0 days 00:00:55.185306,rational_quadratic,100,2,2500,COMPLETE
12,0.9337924971979399,2026-05-07 14:26:37.038760,2026-05-07 14:27:33.255597,0 days 00:00:56.216837,rational_quadratic,100,2,2500,COMPLETE
13,0.9330941430340689,2026-05-07 14:27:33.259507,2026-05-07 14:28:32.503634,0 days 00:00:59.244127,rational_quadratic,100,2,2000,COMPLETE
14,0.9337924971979399,2026-05-07 14:28:32.504731,2026-05-07 14:29:00.854010,0 days 00:00:28.349279,rational_quadratic,150,0,2500,COMPLETE
15,0.9320495979838905,2026-05-07 14:29:00.856430,2026-05-07 14:51:37.596998,0 days 00:22:36.740568,rational_quadratic,50,3,3000,COMPLETE
16,0.9330941430340689,2026-05-07 14:51:37.598152,2026-05-07 14:51:54.509893,0 days 00:00:16.911741,rbf,200,1,2000,COMPLETE
17,0.9337603892998285,2026-05-07 14:51:54.510153,2026-05-07 14:53:51.380119,0 days 00:01:56.869966,matern_2.5+white,150,2,2500,COMPLETE
18,0.9331234645004586,2026-05-07 14:53:51.381061,2026-05-07 14:55:03.329518,0 days 00:01:11.948457,rbf+white,100,3,2000,COMPLETE
19,0.9320495979838905,2026-05-07 14:55:03.329797,2026-05-07 15:30:58.548298,0 days 00:35:55.218501,rational_quadratic,50,2,3000,COMPLETE
20,0.9331296344077724,2026-05-07 15:30:58.549610,2026-05-07 15:31:29.660725,0 days 00:00:31.111115,rational_quadratic,200,3,1500,COMPLETE
21,0.9337924971979399,2026-05-07 15:31:29.663098,2026-05-07 15:32:31.211944,0 days 00:01:01.548846,rational_quadratic,100,2,2500,COMPLETE
22,0.9337924971979399,2026-05-07 15:32:31.213497,2026-05-07 15:33:31.458642,0 days 00:01:00.245145,rational_quadratic,100,2,2500,COMPLETE
23,0.9337924971979399,2026-05-07 15:33:31.463987,2026-05-07 15:34:56.851359,0 days 00:01:25.387372,rational_quadratic,100,3,2500,COMPLETE
24,0.9320495979838902,2026-05-07 15:34:56.852535,2026-05-07 15:37:02.166787,0 days 00:02:05.314252,rational_quadratic,150,1,3000,COMPLETE
25,0.9330941430340689,2026-05-07 15:37:02.167788,2026-05-07 15:38:02.498819,0 days 00:01:00.331031,rational_quadratic,100,2,2000,COMPLETE
26,0.9329546151419669,2026-05-07 15:38:02.499948,2026-05-07 15:39:49.355785,0 days 00:01:46.855837,rbf,50,3,2500,COMPLETE
27,0.9331234645004586,2026-05-07 15:39:49.356867,2026-05-07 15:41:05.069986,0 days 00:01:15.713119,rbf+white,150,3,2000,COMPLETE
28,0.9337603892998285,2026-05-07 15:41:05.070973,2026-05-07 15:43:08.933884,0 days 00:02:03.862911,matern_2.5+white,100,2,2500,COMPLETE
29,0.9328103867177617,2026-05-07 15:43:08.934660,2026-05-07 15:46:17.831720,0 days 00:03:08.897060,matern_1.5,150,3,3000,COMPLETE
